CREATE TABLE `runs` (`run_at` TEXT, `max_rowid` BIGINT, `reviews_added` BIGINT, `rowid` BIGINT NOT NULL, PRIMARY KEY (`rowid`));
CREATE TABLE `podcasts` (`podcast_id` VARCHAR(100) NOT NULL, `itunes_id` BIGINT, `slug` TEXT, `itunes_url` TEXT, `title` TEXT, PRIMARY KEY (`podcast_id`));
CREATE TABLE `reviews` (`podcast_id` TEXT, `title` TEXT, `content` TEXT, `rating` BIGINT, `author_id` TEXT, `created_at` TEXT, `rowid` BIGINT NOT NULL, PRIMARY KEY (`rowid`));
CREATE TABLE `categories` (`podcast_id` VARCHAR(100) NOT NULL, `category` VARCHAR(100) NOT NULL, PRIMARY KEY (`podcast_id`,`category`));
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('ddd6bd999f20dda62b9354db12ccd4c3', 484973315, 'classical-minutes-musical-skills-motivation-tips-insights', 'https://podcasts.apple.com/us/podcast/classical-minutes-musical-skills-motivation-tips-insights/id484973315', 'Classical Minutes: Musical Skills and Motivation | Tips and Insights | Instrumental Coaching | Onlin...');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('ac11b185f081c8983d358eafb4da2a72', 206222584, 'my-thought-coach', 'https://podcasts.apple.com/us/podcast/my-thought-coach/id206222584', 'My Thought Coach');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('b42dc9ff575e8f148dd9654858721cd0', 1516091882, 'god-guns-and-country', 'https://podcasts.apple.com/us/podcast/god-guns-and-country/id1516091882', 'God Guns and Country');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('a18b29bef5589ada4bb01892c64a87d9', 811010016, 'me-paranormal-you-with-ryan-singer', 'https://podcasts.apple.com/us/podcast/me-paranormal-you-with-ryan-singer/id811010016', 'Me & Paranormal You with Ryan Singer');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('e50c90b340e07c8ece3bd32f0decd5e8', 908405595, 'kut-the-write-up', 'https://podcasts.apple.com/us/podcast/kut-the-write-up/id908405595', 'KUT » The Write Up');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('e80bd8bf5607be17b87c1102dcadb5e9', 1360713116, 'just-the-drip', 'https://podcasts.apple.com/us/podcast/just-the-drip/id1360713116', 'Just The Drip');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('cc7ac9d00942901d4ff1aeb2eabe6bf2', 948032390, 'brick-house', 'https://podcasts.apple.com/us/podcast/brick-house/id948032390', 'Brick House');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('dd5b4bce7b7d092f2d81276e625101d6', 1392598509, 'against-the-grain', 'https://podcasts.apple.com/us/podcast/against-the-grain/id1392598509', 'Against the Grain');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('f147e4e398febcb391ce0e5923ebd0c2', 1508878081, 'reviewing-the-situation', 'https://podcasts.apple.com/us/podcast/reviewing-the-situation/id1508878081', 'Reviewing The Situation');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('f303815fa33ef31d07440cea017ed1dd', 182016014, 'pantano-christian-church-podcast', 'https://podcasts.apple.com/us/podcast/pantano-christian-church-podcast/id182016014', 'Pantano Christian Church Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('d235a14baee3ddfe36cc1d9a7ad72262', 1477374128, 'the-tke-nation-podcast', 'https://podcasts.apple.com/us/podcast/the-tke-nation-podcast/id1477374128', 'The TKE Nation Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('c6fa428eb55ac6af3a403c544f4fe135', 1199606972, 'birds-eye-view-an-eagles-podcast', 'https://podcasts.apple.com/us/podcast/birds-eye-view-an-eagles-podcast/id1199606972', 'Birds'' Eye View: an Eagles podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('d5e95cb7567da36c8007f285d68a4009', 401996749, 'affc-sermons', 'https://podcasts.apple.com/us/podcast/affc-sermons/id401996749', 'AFFC Sermons');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('e9ef72423feec044813d00e4b77910eb', 1515814689, 'create-more-now-the-show-that-helps-your-create-your', 'https://podcasts.apple.com/us/podcast/create-more-now-the-show-that-helps-your-create-your/id1515814689', 'Create.More.Now | The Show That Helps Your Create Your Own Brand!');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('fea0a5065d7c5de39029b2a1947bd351', 1515412569, 'ask-an-enneagram-coach', 'https://podcasts.apple.com/us/podcast/ask-an-enneagram-coach/id1515412569', 'Ask an Enneagram Coach');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('bf42821b23344e1a08f722e1f9f030a2', 1501095592, 'tales-from-wyrd-scotland', 'https://podcasts.apple.com/us/podcast/tales-from-wyrd-scotland/id1501095592', 'Tales From Wyrd Scotland');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('a552f58d99bbee581694dfd08d039e41', 1448829561, 'trance-stars', 'https://podcasts.apple.com/us/podcast/trance-stars/id1448829561', 'Trance Stars');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('f162e39e8f91442bb3544a9412e617fd', 1548607882, 'the-show-show', 'https://podcasts.apple.com/us/podcast/the-show-show/id1548607882', 'The Show Show');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('e37eda558e5d02614a5d3c1e1965a163', 1571407161, 'ministry-misfits', 'https://podcasts.apple.com/us/podcast/ministry-misfits/id1571407161', 'Ministry Misfits');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('e14469b904ca0839da086eafc65fb054', 1539697327, 'real-talk-with-rod', 'https://podcasts.apple.com/us/podcast/real-talk-with-rod/id1539697327', 'Real Talk With Rod');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('c1fa1eab14431550734d5c3c0dc83344', 1533545214, 'oh-hell-yes-a-girlfriends-podcast', 'https://podcasts.apple.com/us/podcast/oh-hell-yes-a-girlfriends-podcast/id1533545214', 'Oh, Hell Yes: A Girlfriends Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('fcea952428b84e5e45bb6f1d6eb11890', 1356679296, 'endure-and-survive-a-the-last-of-us-podcast', 'https://podcasts.apple.com/us/podcast/endure-and-survive-a-the-last-of-us-podcast/id1356679296', 'Endure and Survive: A The Last of Us Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('da7cabf7affdce328b2bbfb5fbe40cb0', 1483486162, 'kerkhoven-evangelical-free-church-sermons-podcast', 'https://podcasts.apple.com/us/podcast/kerkhoven-evangelical-free-church-sermons-podcast/id1483486162', 'Kerkhoven Evangelical Free Church Sermons Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('fbd27a5e634bf8fc2090f1c191b610ea', 1118997424, 'pixel-rebels-pixel-rebels-podcast', 'https://podcasts.apple.com/us/podcast/pixel-rebels-pixel-rebels-podcast/id1118997424', 'Pixel Rebels - Pixel Rebels Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('b75dece8f32b2b582c4e1258f028f3cc', 1554789080, 'about-last-year', 'https://podcasts.apple.com/us/podcast/about-last-year/id1554789080', 'About Last Year');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('be7131d02b975b5a2375b415cb61b37f', 1560605898, 'heathen-down-under', 'https://podcasts.apple.com/us/podcast/heathen-down-under/id1560605898', 'Heathen Down Under');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('f03377a97e97227f552119ce6aabd214', 1382920001, 'live-local-loud', 'https://podcasts.apple.com/us/podcast/live-local-loud/id1382920001', 'Live Local & Loud');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('e7aafa20502679ec0dc738934065b5a2', 1492712125, 'flights-football-anything-else', 'https://podcasts.apple.com/us/podcast/flights-football-anything-else/id1492712125', 'Flights, Football & Anything Else');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('a70ba769c4081a0dcefbbea3e31105f5', 1265617063, 'all-saints-catholic-church-homilies', 'https://podcasts.apple.com/us/podcast/all-saints-catholic-church-homilies/id1265617063', 'All Saints Catholic Church Homilies');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('bb2ccc6f72fad460cd4b2f06a0b18a62', 1519040199, 'witchery-without-tears', 'https://podcasts.apple.com/us/podcast/witchery-without-tears/id1519040199', 'Witchery Without Tears');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('e6c6457b3d5b464c4661f1dfb98b2798', 1257180026, 'saywhatchalike-sports-podcast', 'https://podcasts.apple.com/us/podcast/saywhatchalike-sports-podcast/id1257180026', 'SayWhatchaLike Sports Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('b44e3a634e50dba398dbbfc39911de08', 1341967853, 'legacy-womens-podcast', 'https://podcasts.apple.com/us/podcast/legacy-womens-podcast/id1341967853', 'Legacy Women''s Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('d9792bb9d98f435113ae53e9a6bef882', 1106098255, 'selling-real-estate-with-kelly-cook', 'https://podcasts.apple.com/us/podcast/selling-real-estate-with-kelly-cook/id1106098255', 'Selling Real Estate with Kelly Cook');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('f0bb02b9bbd50670d1eb75499cfaa618', 1616601241, 'cheap-tracks', 'https://podcasts.apple.com/us/podcast/cheap-tracks/id1616601241', 'Cheap Tracks');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('efd3687c9ee0afceae2e8a6f7bffac05', 1481778619, 'solving-water-a-xylem-podcast', 'https://podcasts.apple.com/us/podcast/solving-water-a-xylem-podcast/id1481778619', 'Solving Water: A Xylem Podcast');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('f4c130d4cc41182fe8c6ded96fc231cd', 1538536054, 'os-crimes-da-ditadura', 'https://podcasts.apple.com/us/podcast/os-crimes-da-ditadura/id1538536054', 'Os Crimes da Ditadura');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('bf1e350100fdf5df7e933d0fd1fb76ef', 1514422948, 'the-pick-list', 'https://podcasts.apple.com/us/podcast/the-pick-list/id1514422948', 'The Pick List');
INSERT INTO `podcasts` (`podcast_id`, `itunes_id`, `slug`, `itunes_url`, `title`) VALUES ('baa426237ff74ce65ce42561ca47ba11', 1476879828, 'growing-roots-tallahassee', 'https://podcasts.apple.com/us/podcast/growing-roots-tallahassee/id1476879828', 'Growing Roots Tallahassee');
