CREATE TABLE `genre` (`id` BIGINT NOT NULL, `genre_name` TEXT, PRIMARY KEY (`id`));
CREATE TABLE `game` (`id` BIGINT NOT NULL, `genre_id` BIGINT, `game_name` TEXT, PRIMARY KEY (`id`));
CREATE TABLE `platform` (`id` BIGINT NOT NULL, `platform_name` TEXT, PRIMARY KEY (`id`));
CREATE TABLE `publisher` (`id` BIGINT NOT NULL, `publisher_name` TEXT, PRIMARY KEY (`id`));
CREATE TABLE `game_publisher` (`id` BIGINT NOT NULL, `game_id` BIGINT, `publisher_id` BIGINT, PRIMARY KEY (`id`));
CREATE TABLE `game_platform` (`id` BIGINT NOT NULL, `game_publisher_id` BIGINT, `platform_id` BIGINT, `release_year` BIGINT, PRIMARY KEY (`id`));
CREATE TABLE `region` (`id` BIGINT NOT NULL, `region_name` TEXT, PRIMARY KEY (`id`));
CREATE TABLE `region_sales` (`region_id` BIGINT, `game_platform_id` BIGINT, `num_sales` DOUBLE, `rowid` BIGINT NOT NULL, PRIMARY KEY (`rowid`));
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (49, 5, '2-in-1 Game Pack: Spider-Man & Spider-Man 2');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (50, 11, '2002 FIFA World Cup');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (58, 11, '3D Baseball');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (77, 1, '7 Days to Die');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (99, 8, 'A Witch''s Tale');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (148, 1, 'Advent Rising');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (172, 2, 'Agatha Christie: Peril at End House');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (178, 12, 'Age of Empires III: Gold Edition');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (194, 1, 'Ailu de Puzzle');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (196, 10, 'Air Combat');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (212, 9, 'Akai Katana Shin');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (235, 9, 'Alien Hominid');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (239, 9, 'Alien Trilogy');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (249, 4, 'All Grown Up! Express Yourself');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (257, 1, 'All Star Karate');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (262, 11, 'All-Star Baseball 2001');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (283, 2, 'Amagoushi no Yakata');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (285, 2, 'Amazing Adventures: The Forgotten Ruins');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (298, 11, 'AMF Bowling 2004');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (303, 4, 'Amnesia Crowd');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (328, 10, 'Animal Crossing: Happy Home Designer');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (352, 2, 'Ao no Kanata no Four Rhythm');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (361, 4, 'Ape Escape Academy (jp sales)');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (363, 4, 'Ape Escape: Pumped & Primed');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (373, 3, 'Aquapazza: Aquaplus Dream Match');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (375, 8, 'Ar Nosurge: Ode to an Unborn Star');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (384, 8, 'Arc the Lad: End of Darkness');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (385, 8, 'Arc the Lad: Twilight of the Spirits');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (400, 7, 'Arctic Thunder');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (421, 10, 'Armored Core SL: Silent Line Portable');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (429, 10, 'Armored Core: Nine Breaker');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (442, 9, 'Army Men: Air Combat - The Elite Missions');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (463, 8, 'Arx Fatalis');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (470, 2, 'Assassin''s Creed');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (475, 1, 'Assassin''s Creed III');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (489, 1, 'Assault: Retribution');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (494, 8, 'Astonishia Story');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (500, 1, 'Asura''s Wrath');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (508, 8, 'Atelier Ayesha: The Alchemist of Dusk');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (509, 8, 'Atelier Escha & Logy: Alchemists of the Dusk Sky');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (532, 7, 'ATV Quad Kings');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (534, 7, 'ATV/Monster Truck Mayhem');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (540, 8, 'Avalon Code');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (548, 1, 'Azure Striker Gunvolt: Striker Pack');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (556, 11, 'Back At The Barnyard: Slop Bucket Games');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (559, 11, 'Backyard Baseball');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (599, 9, 'Ballistic: Ecks vs. Sever');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (600, 5, 'Balloon Fight');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (601, 6, 'Balloon Pop');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (602, 6, 'Balloon Pop 2');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (605, 9, 'Bangai-O Spirits');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (614, 1, 'Barbie and Her Sisters Puppy Rescue');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (615, 1, 'Barbie and the Magic of Pegasus');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (646, 11, 'Bassmasters 2000');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (651, 1, 'Batman Begins');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (656, 1, 'Batman: Arkham City');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (661, 7, 'Batman: Gotham City Racer');
INSERT INTO `game` (`id`, `genre_id`, `game_name`) VALUES (671, 3, 'Battle Arena Toshinden Remix');
