CREATE TABLE "AwardsMisc" ("_name" VARCHAR(100) NOT NULL, "ID" TEXT, "award" TEXT, "_year" BIGINT, "lgID" TEXT, "note" TEXT, PRIMARY KEY ("_name"));
CREATE TABLE "HOF" ("_year" BIGINT, "hofID" VARCHAR(100) NOT NULL, "_name" TEXT, "category" TEXT, PRIMARY KEY ("hofID"));
CREATE TABLE "Teams" ("_year" BIGINT NOT NULL, "lgID" TEXT, "tmID" VARCHAR(100) NOT NULL, "franchID" TEXT, "confID" TEXT, "divID" TEXT, "rank" BIGINT, "playoff" TEXT, "G" BIGINT, "W" BIGINT, "L" BIGINT, "T" BIGINT, "OTL" TEXT, "Pts" BIGINT, "SoW" TEXT, "SoL" TEXT, "GF" BIGINT, "GA" BIGINT, "_name" TEXT, "PIM" TEXT, "BenchMinor" TEXT, "PPG" TEXT, "PPC" TEXT, "SHA" TEXT, "PKG" TEXT, "PKC" TEXT, "SHF" TEXT, PRIMARY KEY ("_year","tmID"));
CREATE TABLE "Coaches" ("coachID" VARCHAR(100) NOT NULL, "_year" BIGINT NOT NULL, "tmID" VARCHAR(100) NOT NULL, "lgID" TEXT, "stint" BIGINT NOT NULL, "notes" TEXT, "g" BIGINT, "w" BIGINT, "l" BIGINT, "t" BIGINT, "postg" TEXT, "postw" TEXT, "postl" TEXT, "postt" TEXT, PRIMARY KEY ("coachID","_year","tmID","stint"));
CREATE TABLE "AwardsCoaches" ("coachID" TEXT, "award" TEXT, "_year" BIGINT, "lgID" TEXT, "note" TEXT, "rowid" BIGINT NOT NULL, PRIMARY KEY ("rowid"));
CREATE TABLE "Master" ("playerID" TEXT, "coachID" TEXT, "hofID" TEXT, "firstName" TEXT, "lastName" TEXT, "nameNote" TEXT, "nameGiven" TEXT, "nameNick" TEXT, "height" TEXT, "weight" TEXT, "shootCatch" TEXT, "legendsID" TEXT, "ihdbID" TEXT, "hrefID" TEXT, "firstNHL" TEXT, "lastNHL" TEXT, "firstWHA" TEXT, "lastWHA" TEXT, "pos" TEXT, "birthYear" TEXT, "birthMon" TEXT, "birthDay" TEXT, "birthCountry" TEXT, "birthState" TEXT, "birthCity" TEXT, "deathYear" TEXT, "deathMon" TEXT, "deathDay" TEXT, "deathCountry" TEXT, "deathState" TEXT, "deathCity" TEXT, "rowid" BIGINT NOT NULL, PRIMARY KEY ("rowid"));
CREATE TABLE "AwardsPlayers" ("playerID" VARCHAR(100) NOT NULL, "award" VARCHAR(100) NOT NULL, "_year" BIGINT NOT NULL, "lgID" TEXT, "note" TEXT, "pos" TEXT, PRIMARY KEY ("playerID","award","_year"));
CREATE TABLE "CombinedShutouts" ("_year" BIGINT, "_month" BIGINT, "date" BIGINT, "tmID" TEXT, "oppID" TEXT, "R_P" TEXT, "IDgoalie1" TEXT, "IDgoalie2" TEXT, "rowid" BIGINT NOT NULL, PRIMARY KEY ("rowid"));
CREATE TABLE "Goalies" ("playerID" VARCHAR(100) NOT NULL, "_year" BIGINT NOT NULL, "stint" BIGINT NOT NULL, "tmID" TEXT, "lgID" TEXT, "GP" TEXT, "Min" TEXT, "W" TEXT, "L" TEXT, "T_OL" TEXT, "ENG" TEXT, "SHO" TEXT, "GA" TEXT, "SA" TEXT, "PostGP" TEXT, "PostMin" TEXT, "PostW" TEXT, "PostL" TEXT, "PostT" TEXT, "PostENG" TEXT, "PostSHO" TEXT, "PostGA" TEXT, "PostSA" TEXT, PRIMARY KEY ("playerID","_year","stint"));
CREATE TABLE "GoaliesSC" ("playerID" VARCHAR(100) NOT NULL, "_year" BIGINT NOT NULL, "tmID" TEXT, "lgID" TEXT, "GP" BIGINT, "Min" BIGINT, "W" BIGINT, "L" BIGINT, "T" BIGINT, "SHO" BIGINT, "GA" BIGINT, PRIMARY KEY ("playerID","_year"));
CREATE TABLE "GoaliesShootout" ("playerID" TEXT, "_year" BIGINT, "stint" BIGINT, "tmID" TEXT, "W" BIGINT, "L" BIGINT, "SA" BIGINT, "GA" BIGINT, "rowid" BIGINT NOT NULL, PRIMARY KEY ("rowid"));
CREATE TABLE "Scoring" ("playerID" TEXT, "_year" BIGINT, "stint" BIGINT, "tmID" TEXT, "lgID" TEXT, "pos" TEXT, "GP" BIGINT, "G" BIGINT, "A" BIGINT, "Pts" BIGINT, "PIM" BIGINT, "___" TEXT, "PPG" TEXT, "PPA" TEXT, "SHG" TEXT, "SHA" TEXT, "GWG" TEXT, "GTG" TEXT, "SOG" TEXT, "PostGP" TEXT, "PostG" TEXT, "PostA" TEXT, "PostPts" TEXT, "PostPIM" TEXT, "Post___" TEXT, "PostPPG" TEXT, "PostPPA" TEXT, "PostSHG" TEXT, "PostSHA" TEXT, "PostGWG" TEXT, "PostSOG" TEXT, "rowid" BIGINT NOT NULL, PRIMARY KEY ("rowid"));
CREATE TABLE "ScoringSC" ("playerID" TEXT, "_year" BIGINT, "tmID" TEXT, "lgID" TEXT, "pos" TEXT, "GP" BIGINT, "G" BIGINT, "A" BIGINT, "Pts" BIGINT, "PIM" BIGINT, "rowid" BIGINT NOT NULL, PRIMARY KEY ("rowid"));
CREATE TABLE "ScoringShootout" ("playerID" TEXT, "_year" BIGINT, "stint" BIGINT, "tmID" TEXT, "S" BIGINT, "G" BIGINT, "GDG" BIGINT, "rowid" BIGINT NOT NULL, PRIMARY KEY ("rowid"));
CREATE TABLE "ScoringSup" ("playerID" TEXT, "_year" BIGINT, "PPA" TEXT, "SHA" TEXT, "rowid" BIGINT NOT NULL, PRIMARY KEY ("rowid"));
CREATE TABLE "SeriesPost" ("_year" BIGINT, "round" TEXT, "series" TEXT, "tmIDWinner" TEXT, "lgIDWinner" TEXT, "tmIDLoser" TEXT, "lgIDLoser" TEXT, "W" BIGINT, "L" BIGINT, "T" BIGINT, "GoalsWinner" BIGINT, "GoalsLoser" BIGINT, "note" TEXT, "rowid" BIGINT NOT NULL, PRIMARY KEY ("rowid"));
CREATE TABLE "TeamSplits" ("_year" BIGINT NOT NULL, "lgID" TEXT, "tmID" VARCHAR(100) NOT NULL, "hW" BIGINT, "hL" BIGINT, "hT" BIGINT, "hOTL" TEXT, "rW" BIGINT, "rL" BIGINT, "rT" BIGINT, "rOTL" TEXT, "SepW" TEXT, "SepL" TEXT, "SepT" TEXT, "SepOL" TEXT, "OctW" TEXT, "OctL" TEXT, "OctT" TEXT, "OctOL" TEXT, "NovW" TEXT, "NovL" TEXT, "NovT" TEXT, "NovOL" TEXT, "DecW" TEXT, "DecL" TEXT, "DecT" TEXT, "DecOL" TEXT, "JanW" BIGINT, "JanL" BIGINT, "JanT" BIGINT, "JanOL" TEXT, "FebW" BIGINT, "FebL" BIGINT, "FebT" BIGINT, "FebOL" TEXT, "MarW" TEXT, "MarL" TEXT, "MarT" TEXT, "MarOL" TEXT, "AprW" TEXT, "AprL" TEXT, "AprT" TEXT, "AprOL" TEXT, PRIMARY KEY ("_year","tmID"));
CREATE TABLE "TeamVsTeam" ("_year" BIGINT NOT NULL, "lgID" TEXT, "tmID" VARCHAR(100) NOT NULL, "oppID" VARCHAR(100) NOT NULL, "W" BIGINT, "L" BIGINT, "T" BIGINT, "OTL" TEXT, PRIMARY KEY ("_year","tmID","oppID"));
CREATE TABLE "TeamsHalf" ("_year" BIGINT NOT NULL, "lgID" TEXT, "tmID" VARCHAR(100) NOT NULL, "half" BIGINT NOT NULL, "rank" BIGINT, "G" BIGINT, "W" BIGINT, "L" BIGINT, "T" BIGINT, "GF" BIGINT, "GA" BIGINT, PRIMARY KEY ("_year","tmID","half"));
CREATE TABLE "TeamsPost" ("_year" BIGINT NOT NULL, "lgID" TEXT, "tmID" VARCHAR(100) NOT NULL, "G" BIGINT, "W" BIGINT, "L" BIGINT, "T" BIGINT, "GF" BIGINT, "GA" BIGINT, "PIM" TEXT, "BenchMinor" TEXT, "PPG" TEXT, "PPC" TEXT, "SHA" TEXT, "PKG" TEXT, "PKC" TEXT, "SHF" TEXT, PRIMARY KEY ("_year","tmID"));
CREATE TABLE "TeamsSC" ("_year" BIGINT NOT NULL, "lgID" TEXT, "tmID" VARCHAR(100) NOT NULL, "G" BIGINT, "W" BIGINT, "L" BIGINT, "T" BIGINT, "GF" BIGINT, "GA" BIGINT, "PIM" TEXT, PRIMARY KEY ("_year","tmID"));
CREATE TABLE "abbrev" ("_Type" VARCHAR(100) NOT NULL, "Code" VARCHAR(100) NOT NULL, "Fullname" TEXT, PRIMARY KEY ("_Type","Code"));
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Bob Pulford', 'pulfobo01', 'Patrick', 2010, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Wayne Gretzky', 'gretzwa01', 'Patrick', 1993, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Bob Johnson', 'johnsbo02c', 'Patrick', 1987, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Joe Mullen', 'mullejo01', 'Patrick', 1994, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Glen Sonmor', 'sonmogl01', 'Patrick', 2005, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Al Arbour', 'arboual01', 'Patrick', 1991, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Jerry York', NULL, 'Patrick', 2009, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Cooney Weiland', 'weilaco01', 'Patrick', 1971, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Cam Neely', 'neelyca01', 'Patrick', 2009, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Murray Murdoch', 'murdomu01', 'Patrick', 1973, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Gordie Howe', 'howego01', 'Patrick', 1966, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Len Ceglarski', NULL, 'Patrick', 1989, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Fred Cusick', NULL, 'Patrick', 1987, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Terry Sawchuk', 'sawchte01', 'Patrick', 1970, 'NHL', 'posthumous');
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Steve Yzerman', 'yzermst01', 'Patrick', 2005, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Clarence Campbell', 'campbcl01h', 'Patrick', 1971, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Craig Patrick', 'patricr01', 'Patrick', 1999, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Red Berenson', 'berenre01', 'Patrick', 2005, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Robert Ridder', NULL, 'Patrick', 1993, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Willie O''Ree', 'oreewi01', 'Patrick', 2002, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('John Ziegler', 'ziegljo01h', 'Patrick', 1983, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('David Poile', NULL, 'Patrick', 2000, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Brian Mullen', 'mullebr01', 'Patrick', 1994, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('1998 U.S. Olympic Women''s Hockey Team', NULL, 'Patrick', 1998, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('John Kilpatrick', 'kilpajo01h', 'Patrick', 1967, 'NHL', 'posthumous');
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Bill Chadwick', 'chadwbi01h', 'Patrick', 1974, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Milt Schmidt', 'schmimi01', 'Patrick', 1995, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Phil Esposito', 'esposph01', 'Patrick', 1977, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Mark Messier', 'messima01', 'Patrick', 2008, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Frank Mathers', 'mathefr01', 'Patrick', 1986, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Brian Leetch', 'leetcbr01', 'Patrick', 2006, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Dan Kelly', 'kellyda01', 'Patrick', 1988, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Red Dutton', 'duttore01', 'Patrick', 1992, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Tom Fitzgerald', NULL, 'Patrick', 1977, 'NHL', NULL);
INSERT INTO "AwardsMisc" ("_name", "ID", "award", "_year", "lgID", "note") VALUES ('Rod Gilbert', 'gilbero01', 'Patrick', 1990, 'NHL', NULL);
